file_path	file_role	accession	assembly_code	annotation_code	sample_code	dataset_code	md5
/home/labuser/rdcheng/gd/manual_files/annotation.Yelicanghua.gff	annotation	Yelicanghua	ASM_Yelicanghua	ANN_Yelicanghua			
/home/labuser/rdcheng/gd/manual_files/annotation.Yikong.gff	annotation	Yikong	ASM_Yikong	ANN_Yikong			
/home/labuser/rdcheng/gd/manual_files/annotation.Younian.gff	annotation	Younian	ASM_Younian	ANN_Younian			
/home/labuser/rdcheng/gd/manual_files/annotation.YR196.gff	annotation	YR196	ASM_YR196	ANN_YR196			
/home/labuser/rdcheng/gd/manual_files/annotation.Yuyannuo.gff	annotation	Yuyannuo	ASM_Yuyannuo	ANN_Yuyannuo			
/home/labuser/rdcheng/gd/manual_files/annotation.YZ-2.gff	annotation	YZ-2	ASM_YZ-2	ANN_YZ-2			
/home/labuser/rdcheng/gd/manual_files/annotation.Zaoshengbai.gff	annotation	Zaoshengbai	ASM_Zaoshengbai	ANN_Zaoshengbai			
/home/labuser/rdcheng/gd/manual_files/annotation.Zaoshunonghu 6.gff	annotation	Zaoshunonghu 6	ASM_Zaoshunonghu 6	ANN_Zaoshunonghu 6			
/home/labuser/rdcheng/gd/manual_files/annotation.Zaoshuxiangheimi.gff	annotation	Zaoshuxiangheimi	ASM_Zaoshuxiangheimi	ANN_Zaoshuxiangheimi			
/home/labuser/rdcheng/gd/manual_files/annotation.Zaoxian 240.gff	annotation	Zaoxian 240	ASM_Zaoxian 240	ANN_Zaoxian 240			
/home/labuser/rdcheng/gd/manual_files/annotation.ZCD.gff	annotation	ZCD	ASM_ZCD	ANN_ZCD			
/home/labuser/rdcheng/gd/manual_files/annotation.Zhendao 232.gff	annotation	Zhendao 232	ASM_Zhendao 232	ANN_Zhendao 232			
/home/labuser/rdcheng/gd/manual_files/annotation.Zhenfu 8.gff	annotation	Zhenfu 8	ASM_Zhenfu 8	ANN_Zhenfu 8			
/home/labuser/rdcheng/gd/manual_files/annotation.Zhengdao 5.gff	annotation	Zhengdao 5	ASM_Zhengdao 5	ANN_Zhengdao 5			
/home/labuser/rdcheng/gd/manual_files/annotation.Zhuyuan.gff	annotation	Zhuyuan	ASM_Zhuyuan	ANN_Zhuyuan			
