assembly_code	accession	assembly_accession	assembly_name	species_code	assembly_level	biosample_accession	assembly_type	assembly_method	sequencing_technology	genome_size	chromosome_count	contig_count	n50	gc_content	reference	source_database	external_project	file_name	file_type	description
ASM_Hongainuo	Hongainuo		Hongainuo genome assembly	ORYZA_SATIVA														genome.Hongainuo.fasta	FASTA	
ASM_Honggenghangu3	Honggenghangu3		Honggenghangu3 genome assembly	ORYZA_SATIVA														genome.Honggenghangu3.fasta	FASTA	
ASM_Honggu	Honggu		Honggu genome assembly	ORYZA_SATIVA														genome.Honggu.fasta	FASTA	
ASM_Hongmisandan	Hongmisandan		Hongmisandan genome assembly	ORYZA_SATIVA														genome.Hongmisandan.fasta	FASTA	
ASM_Hongse 90	Hongse 90		Hongse 90 genome assembly	ORYZA_SATIVA														genome.Hongse 90.fasta	FASTA	
ASM_Hongwan 1	Hongwan 1		Hongwan 1 genome assembly	ORYZA_SATIVA														genome.Hongwan 1.fasta	FASTA	
ASM_HR-12	HR-12		HR-12 genome assembly	ORYZA_SATIVA														genome.HR-12.fasta	FASTA	
ASM_Huangsiguizhan	Huangsiguizhan		Huangsiguizhan genome assembly	ORYZA_SATIVA														genome.Huangsiguizhan.fasta	FASTA	
ASM_Huhui 91269	Huhui 91269		Huhui 91269 genome assembly	ORYZA_SATIVA														genome.Huhui 91269.fasta	FASTA	
ASM_HZ	HZ		HZ genome assembly	ORYZA_SATIVA														genome.HZ.fasta	FASTA	
ASM_II32	II32		II32 genome assembly	ORYZA_SATIVA														genome.II32.fasta	FASTA	
ASM_IR 10179-23-1-3	IR 10179-23-1-3		IR 10179-23-1-3 genome assembly	ORYZA_SATIVA														genome.IR 10179-23-1-3.fasta	FASTA	
ASM_IR 661-1	IR 661-1		IR 661-1 genome assembly	ORYZA_SATIVA														genome.IR 661-1.fasta	FASTA	
ASM_IR24	IR24		IR24 genome assembly	ORYZA_SATIVA														genome.IR24.fasta	FASTA	
ASM_IR26	IR26		IR26 genome assembly	ORYZA_SATIVA														genome.IR26.fasta	FASTA	
ASM_IR64	IR64		IR64 genome assembly	ORYZA_SATIVA						386698898			31218896	43.627		Public database		genome.IR64.fasta	FASTA	IR64 genome assembly bound to manual_files/genome.IR64.fasta.
ASM_IR64_20sd	IR64_20sd		IR64_20sd genome assembly	ORYZA_SATIVA														genome.IR64_20sd.fasta	FASTA	
ASM_IR64_21cell	IR64_21cell		IR64_21cell genome assembly	ORYZA_SATIVA														genome.IR64_21cell.fasta	FASTA	
ASM_IR64_22cr	IR64_22cr		IR64_22cr genome assembly	ORYZA_SATIVA														genome.IR64_22cr.fasta	FASTA	
ASM_IR8	IR8		IR8 genome assembly	ORYZA_SATIVA														genome.IR8.fasta	FASTA	
ASM_IRAT 10	IRAT 10		IRAT 10 genome assembly	ORYZA_SATIVA														genome.IRAT 10.fasta	FASTA	
ASM_IRGC104165	IRGC104165		IRGC104165 genome assembly	ORYZA_SATIVA														genome.IRGC104165.fasta	FASTA	
ASM_ITA 221	ITA 221		ITA 221 genome assembly	ORYZA_SATIVA														genome.ITA 221.fasta	FASTA	
ASM_J34	J34		J34 genome assembly	ORYZA_SATIVA														genome.J34.fasta	FASTA	
ASM_J4155	J4155		J4155 genome assembly	ORYZA_SATIVA														genome.J4155.fasta	FASTA	
ASM_J4155S	J4155S		J4155S genome assembly	ORYZA_SATIVA														genome.J4155S.fasta	FASTA	
ASM_Jaibattey	Jaibattey		Jaibattey genome assembly	ORYZA_SATIVA														genome.Jaibattey.fasta	FASTA	
ASM_Jiabala	Jiabala		Jiabala genome assembly	ORYZA_SATIVA														genome.Jiabala.fasta	FASTA	
ASM_Jianghuadao	Jianghuadao		Jianghuadao genome assembly	ORYZA_SATIVA														genome.Jianghuadao.fasta	FASTA	
ASM_Jiangnongzao 1 B	Jiangnongzao 1 B		Jiangnongzao 1 B genome assembly	ORYZA_SATIVA														genome.Jiangnongzao 1 B.fasta	FASTA	
ASM_Jiayu253	Jiayu253		Jiayu253 genome assembly	ORYZA_SATIVA														genome.Jiayu253.fasta	FASTA	
ASM_Jiefangxian	Jiefangxian		Jiefangxian genome assembly	ORYZA_SATIVA														genome.Jiefangxian.fasta	FASTA	
