annotation_code	accession	assembly_code	annotation_name	annotation_version	is_default	species_code	source_database	source_name	external_project	file_name	file_type	description
ANN_DR15	DR15	ASM_DR15	DR15 annotation		true	ORYZA_SATIVA				annotation.DR15.gff	GFF	
ANN_DR16	DR16	ASM_DR16	DR16 annotation		true	ORYZA_SATIVA				annotation.DR16.gff	GFF	
ANN_DR17	DR17	ASM_DR17	DR17 annotation		true	ORYZA_SATIVA				annotation.DR17.gff	GFF	
ANN_DR18	DR18	ASM_DR18	DR18 annotation		true	ORYZA_SATIVA				annotation.DR18.gff	GFF	
ANN_DR2	DR2	ASM_DR2	DR2 annotation		true	ORYZA_SATIVA				annotation.DR2.gff	GFF	
ANN_DR20	DR20	ASM_DR20	DR20 annotation		true	ORYZA_SATIVA				annotation.DR20.gff	GFF	
ANN_DR3	DR3	ASM_DR3	DR3 annotation		true	ORYZA_SATIVA				annotation.DR3.gff	GFF	
ANN_DR4	DR4	ASM_DR4	DR4 annotation		true	ORYZA_SATIVA				annotation.DR4.gff	GFF	
ANN_DR5	DR5	ASM_DR5	DR5 annotation		true	ORYZA_SATIVA				annotation.DR5.gff	GFF	
ANN_DR6	DR6	ASM_DR6	DR6 annotation		true	ORYZA_SATIVA				annotation.DR6.gff	GFF	
ANN_DR7	DR7	ASM_DR7	DR7 annotation		true	ORYZA_SATIVA				annotation.DR7.gff	GFF	
ANN_DR8	DR8	ASM_DR8	DR8 annotation		true	ORYZA_SATIVA				annotation.DR8.gff	GFF	
ANN_DR9	DR9	ASM_DR9	DR9 annotation		true	ORYZA_SATIVA				annotation.DR9.gff	GFF	
ANN_Dular	Dular	ASM_Dular	Dular annotation		true	ORYZA_SATIVA				annotation.Dular.gff	GFF	
ANN_Dumai	Dumai	ASM_Dumai	Dumai annotation		true	ORYZA_SATIVA				annotation.Dumai.gff	GFF	
ANN_DXCWR	DXCWR	ASM_DXCWR	DXCWR annotation		true	ORYZA_SATIVA				annotation.DXCWR.gff	GFF	
ANN_ECIA 179-S13	ECIA 179-S13	ASM_ECIA 179-S13	ECIA 179-S13 annotation		true	ORYZA_SATIVA				annotation.ECIA 179-S13.gff	GFF	
ANN_Esiniu	Esiniu	ASM_Esiniu	Esiniu annotation		true	ORYZA_SATIVA				annotation.Esiniu.gff	GFF	
ANN_Fanhaopi	Fanhaopi	ASM_Fanhaopi	Fanhaopi annotation		true	ORYZA_SATIVA				annotation.Fanhaopi.gff	GFF	
ANN_FH838	FH838	ASM_FH838	FH838 annotation		true	ORYZA_SATIVA				annotation.FH838.gff	GFF	
ANN_FS32	FS32	ASM_FS32	FS32 annotation		true	ORYZA_SATIVA				annotation.FS32.gff	GFF	
ANN_Funingzipigengzi	Funingzipigengzi	ASM_Funingzipigengzi	Funingzipigengzi annotation		true	ORYZA_SATIVA				annotation.Funingzipigengzi.gff	GFF	
ANN_G Zhenshan 97B	G Zhenshan 97B	ASM_G Zhenshan 97B	G Zhenshan 97B annotation		true	ORYZA_SATIVA				annotation.G Zhenshan 97B.gff	GFF	
ANN_G46	G46	ASM_G46	G46 annotation		true	ORYZA_SATIVA				annotation.G46.gff	GFF	
ANN_G630	G630	ASM_G630	G630 annotation		true	ORYZA_SATIVA				annotation.G630.gff	GFF	
ANN_G8	G8	ASM_G8	G8 annotation		true	ORYZA_SATIVA				annotation.G8.gff	GFF	
ANN_GM4	GM4	ASM_GM4	GM4 annotation		true	ORYZA_SATIVA				annotation.GM4.gff	GFF	
ANN_Gongchengxiang	Gongchengxiang	ASM_Gongchengxiang	Gongchengxiang annotation		true	ORYZA_SATIVA				annotation.Gongchengxiang.gff	GFF	
ANN_Gongju 73	Gongju 73	ASM_Gongju 73	Gongju 73 annotation		true	ORYZA_SATIVA				annotation.Gongju 73.gff	GFF	
ANN_Guangluai 15-	Guangluai 15-	ASM_Guangluai 15-	Guangluai 15- annotation		true	ORYZA_SATIVA				annotation.Guangluai 15-.gff	GFF	
ANN_Guangluai 4	Guangluai 4	ASM_Guangluai 4	Guangluai 4 annotation		true	ORYZA_SATIVA				annotation.Guangluai 4.gff	GFF	
ANN_Guizhao 2	Guizhao 2	ASM_Guizhao 2	Guizhao 2 annotation		true	ORYZA_SATIVA				annotation.Guizhao 2.gff	GFF	
ANN_GWX30	GWX30	ASM_GWX30	GWX30 annotation		true	ORYZA_SATIVA				annotation.GWX30.gff	GFF	
ANN_GZ 1368-5-4	GZ 1368-5-4	ASM_GZ 1368-5-4	GZ 1368-5-4 annotation		true	ORYZA_SATIVA				annotation.GZ 1368-5-4.gff	GFF	
ANN_Hanmadao4	Hanmadao4	ASM_Hanmadao4	Hanmadao4 annotation		true	ORYZA_SATIVA				annotation.Hanmadao4.gff	GFF	
ANN_Haobayong 1	Haobayong 1	ASM_Haobayong 1	Haobayong 1 annotation		true	ORYZA_SATIVA				annotation.Haobayong 1.gff	GFF	
